Time,Energy,Cost
447.0413237501047,2219.959017326508,0.02662297799540682
462.3483225400569,1789.002523248936,0.02796244558332897
463.0719549677458,1530.9131295138932,0.012420406521760985
467.3825886157436,2006.0908314455912,0.011605385571376485
469.1476288321246,1898.444378585407,0.012051129366127572
483.31308058443983,1878.8358376082404,0.011090410715550567
530.4871956241622,1854.6700683688794,0.012149501144092328
549.0506214009092,2599.6816880224246,0.01011767781175465
559.9516170585407,1684.9492056525567,0.01061767781175465
595.5956418905403,1634.2854105787512,0.01188169210331693
598.2844994843826,1640.1641207192733,0.010772250896776588
608.0817684418711,1583.8706366901713,0.012289902031465747
632.4866109830156,2049.517632684122,0.010330314789391185
645.5601533903349,1782.546092299349,0.010185386145087984
687.7143192523231,3079.597733788874,0.009434322725899122
697.5259514033131,1496.1344227915731,0.027877455569563895
723.1002548994735,1973.5977407590237,0.00940843521187328
780.1918966964612,1520.3386372055877,0.013644251455738915
785.5435031573305,1847.1498681569053,0.010137199120658988
849.7352147627606,1581.717463788904,0.011374977454314955
879.4776686227855,1567.4546597030137,0.011270725772744012
887.1597159158104,1659.6447131073553,0.009939046262283308
933.4734933842022,1530.4818008371155,0.012713906202032317
936.1113421092723,1519.7966572166115,0.025065563650882264
1046.2469201057609,1593.444631489113,0.010339959230109922
1053.484156309324,1488.4233355025472,0.018398867930915483
1293.5274619666754,1844.1101777427384,0.009653500896776588
1429.1145189176266,1816.852406344042,0.009920789599617391
1444.7812234150467,1493.30387209049,0.017244401267988402
3498.8770420290343,1467.2638147143152,0.025284066572912472
13662.464897926,10152.473859235579,0.008943575903530178
