Time,Energy,Cost
0.0,0.0042620524684905264,0.6570318146823709
1.1292338814627599e-05,0.004132027168005196,0.694481231605407
7.250806804649101e-05,0.0059377510979290345,0.18350252189721028
3.8818094403133294e-05,0.0026358777869271966,0.4714396863546871
3.540596347376973e-05,0.0044237543335917656,0.22243449472756943
8.777234630634417e-05,0.00218318642140621,0.3025587414328469
6.694821814400435e-05,0.000774974925160485,0.7396435341140808
1.1911773205158015e-05,0.0032379109385119163,0.2531732510131367
7.178560366782781e-05,0.0012225218118007766,0.4909554165348085
8.553420953053094e-05,0.0043721277545781916,0.20196798405943156
3.0722149904812875e-05,0.0009086923125681084,0.8675492828322932
6.602699573663022e-05,0.001436121710560222,0.39478073259052066
7.230688987143112e-05,0.00410455061529216,0.20728925387899108
9.952002905824504e-05,0.0004923616358936365,0.5742153197268888
3.594037311634949e-05,0.0010188611008715757,0.7076279221621409
8.924566392361799e-05,0.0046634114641479,0.14880292225882386
0.00011231137745494844,0.000939103798214817,0.5508362096187794
9.964703719202958e-05,0.002275787344904941,0.17358967484227905
8.662743142324963e-05,0.0024746657395414494,0.151186982438798
0.00012588156978769632,0.0015528531092761783,0.22523811378743286
3.076604433293351e-05,0.0027190217103384927,0.7371554963335872
3.74889036871938e-05,0.002534406575058984,0.5525061276001055
0.00010009069414081559,0.0019952161617345005,0.2862378698109293
0.00014343873474704494,0.0012712909867133452,0.1757896445773086
8.954829180460154e-05,0.0006879614354023684,0.7375020389259621
5.515557848814123e-05,0.002247653859244741,0.21927170194466702
0.00011609805333291537,0.0004836782304733487,0.6839521921678029
0.00021833567142343028,0.0012735035899576626,0.1389722678510074
0.00014701548382416328,0.00036319734614672066,0.6312668275493067
0.0001668711844255969,0.0005893122941222699,0.4846424788471833
0.00011082960465394644,0.0016664493636771554,0.2959241007550494
9.35280336997515e-05,0.0022989975429674892,0.20682799173093233
0.00012496605046949272,0.000695831568879097,0.2522013205920027
6.811499560484716e-05,0.0015087125656133376,0.31988037971582894
4.705062335828003e-05,0.0014637097083510283,0.39478073259052066
0.00010910635771605556,0.0018754007270685858,0.19774646652116706
0.0001907893252236437,0.0005674922766166147,0.3463316460284912
0.00019974209060404026,0.0021562261204691193,0.10750809990293277
0.0001154769763496892,0.002032517650262891,0.13616576839254238
0.00017448927626927179,0.00017148255383760166,0.45656975416719847
8.930948711791019e-05,0.0011636150671739613,0.3578875845754355
0.00010323830491107941,0.0021648524609645162,0.20834532007825565
0.0001174762835679074,0.0007136344652191634,0.4778625305605219
0.00011556893439080476,0.0016844079491344596,0.2874787737568582
0.00016109755443970326,0.0019076894600864836,0.147061997915422
6.0545211059679944e-05,0.001457104949843044,0.6307748158764229
7.988886574845752e-05,0.0011932844727688702,0.5660553186634164
5.1542368896525064e-05,0.002451912838012808,0.23794144585831095
7.491875376882897e-05,0.0012823787400685588,0.4030401009602304
0.00010958015442339235,0.0011475937083924661,0.4909554165348085
0.00020826364251649588,0.0,0.2696650902516163
