var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50,var_51,var_52,var_53,var_54,var_55,var_56,var_57,var_58,var_59,var_60,var_61,var_62,var_63,var_64,var_65,var_66,var_67,var_68,var_69,var_70,var_71,var_72,var_73,var_74,var_75,var_76,var_77,var_78,var_79,var_80,var_81,var_82,var_83,var_84,var_85,var_86,var_87,var_88,var_89,var_90,var_91,var_92,var_93,var_94,var_95,var_96,var_97,var_98,var_99,var_100,var_101,var_102,var_103,var_104,var_105,var_106,var_107,var_108,var_109,var_110,var_111,var_112,var_113,var_114,var_115,var_116,var_117,var_118,var_119,var_120,var_121,var_122,obj_0,obj_1,obj_2
0.0,1.0,4.0,10.0,2.0,9.0,3.0,7.0,18.0,5.0,8.0,16.0,15.0,6.0,11.0,14.0,12.0,17.0,13.0,19.0,0.0,2.0,1.0,4.0,3.0,5.0,7.0,9.0,8.0,10.0,12.0,6.0,11.0,13.0,14.0,15.0,17.0,16.0,18.0,19.0,0.0,1.0,5.0,3.0,8.0,4.0,2.0,10.0,9.0,6.0,15.0,16.0,12.0,7.0,11.0,14.0,17.0,13.0,18.0,19.0,5.0,7.0,5.0,4.0,6.0,2.0,4.0,7.0,3.0,1.0,3.0,7.0,6.0,7.0,7.0,1.0,6.0,2.0,5.0,2.0,1.0,4.0,1.0,4.0,3.0,7.0,5.0,3.0,7.0,2.0,6.0,4.0,4.0,3.0,5.0,5.0,3.0,7.0,5.0,2.0,6.0,1.0,4.0,7.0,6.0,4.0,4.0,1.0,7.0,7.0,2.0,3.0,5.0,5.0,1.0,4.0,5.0,3.0,5.0,4.0,0.3723133455035509,0.22624802421746557,0.40143863027898347,60.032142134175466,536.9337858971429,0.03881126177639264
0.0,1.0,3.0,7.0,4.0,9.0,15.0,8.0,6.0,16.0,12.0,10.0,17.0,14.0,13.0,18.0,2.0,5.0,11.0,19.0,0.0,2.0,1.0,4.0,8.0,3.0,6.0,12.0,7.0,11.0,14.0,16.0,5.0,10.0,9.0,13.0,15.0,17.0,18.0,19.0,0.0,1.0,4.0,9.0,3.0,2.0,6.0,7.0,8.0,13.0,14.0,15.0,5.0,12.0,11.88665180841977,17.0,10.0,16.0,18.67249298519877,19.0,5.0,5.0,4.0,3.0,4.0,6.0,3.0,2.0,4.0,6.0,1.0,7.0,6.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,5.0,6.0,1.0,5.0,3.0,2.0,7.0,4.0,1.0,4.0,2.0,6.0,2.0,4.0,2.0,2.0,2.0,5.0,6.0,5.0,3.0,4.0,1.0,4.0,4.0,3.0,6.0,5.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,4.0,7.0,1.0,5.0,5.0,0.4438729857939773,0.2811599303804595,0.2749670838255633,63.51498359581021,524.189330429432,0.017921441831425123
0.0,1.0,3.0,4.0,0.8280012287469138,9.0,8.0,7.0,15.0,10.0,18.0,5.0,17.0,11.0,6.0,14.0,16.0,12.0,13.0,19.0,0.0,2.0,5.0,1.0,4.0,10.0,3.0,9.0,8.0,7.0,13.0,12.0,6.0,15.0,11.0,14.0,16.0,17.0,18.0,19.0,0.6504370347043827,1.0,2.0,3.0,5.0,7.0,6.0,13.0,12.0,8.0,4.0,10.0,9.0,15.0,11.0,14.0,16.0,17.0,18.0,19.0,5.0,7.0,4.0,6.0,5.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,4.0,6.0,3.0,5.0,6.0,1.0,3.0,2.0,7.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,6.0,6.0,4.0,3.0,2.0,2.0,5.0,4.0,1.0,5.0,4.0,5.0,7.0,3.0,4.0,6.0,4.0,6.0,1.0,5.0,5.0,3.0,6.0,3.0,2.0,6.0,4.0,0.19956119956119958,0.47949247949247953,0.320946320946321,66.81181822583524,562.163339375309,0.01254508641796719
0.0,1.0,3.0,2.0,6.0,12.0,7.0,16.0,15.0,5.0,14.0,4.0,8.0,13.0,9.0,11.0,10.0,17.0,18.0,19.0,0.0,1.0,3.0,2.0,6.0,5.0,7.0,10.0,11.0,4.0,9.0,8.0,13.0,12.0,15.0,14.0,17.0,16.0,18.0,19.0,0.0,2.0,6.0,1.0,3.0,8.0,7.0,4.0,5.0,14.0,13.0,12.0,10.0,11.0,9.0,16.0,17.0,15.0,18.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.333333,0.333334,70.34890088274723,444.3279459466455,0.014225000000000002
0.0,1.0,3.0,0.9608434669947221,5.0,7.0,11.0,4.0,10.0,9.0,6.0,16.0,15.0,13.0,12.0,18.0,14.0,8.0,17.0,19.0,0.0,2.0,1.0,3.0,7.0,6.0,11.0,4.0,8.0,5.0,10.0,12.0,14.0,9.0,16.0,13.0,15.0,17.0,18.0,19.0,0.0,1.0,5.0,2.0,3.0,7.0,8.0,4.0,11.0,14.0,13.0,6.0,12.0,9.0,15.0,17.0,10.0,16.0,18.0,19.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9916360888346443,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.6,0.2,0.2,73.83213630971005,502.1348944344225,0.014025000000000001
0.0,1.0,3.0,2.0,4.0,8.0,7.0,5.0,16.0,11.0,15.0,10.0,18.0,9.0,17.0,6.0,12.0,14.0,13.0,19.0,0.0,2.0,5.0,10.0,1.0,4.0,8.0,3.0,7.0,6.0,12.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,0.0,1.0,5.0,2.0,4.0,3.0,9.0,7.0,13.0,10.0,11.0,16.0,8.0,15.0,14.0,6.0,12.0,17.0,18.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.333333,0.333334,65.03883343022166,444.61305116540257,0.014225000000000002
